tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-01-29,0,0,0,0,0.0,0.0,0.0
2020-03-01,0,0,0,0,0.0,0.0,0.0
2020-03-02,0,0,0,0,0.0,0.0,0.0
2020-03-03,1,0,3,2,0.3333333333333333,0.0,0.0
2020-03-04,1,0,3,2,0.3333333333333333,0.0,0.0
2020-03-05,3,0,7,4,0.42857142857142855,0.0,0.0
2020-03-06,3,0,7,4,0.42857142857142855,0.0,0.0
2020-03-07,3,0,7,4,0.42857142857142855,0.0,0.0
2020-03-08,3,0,7,4,0.42857142857142855,0.0,0.0
2020-03-09,3,0,34,31,0.08823529411764706,0.0,0.0
2020-03-11,3,0,36,33,0.08333333333333333,0.0,0.0
2020-03-12,5,0,62,57,0.08064516129032258,0.0,0.0
2020-03-13,7,0,72,65,0.09722222222222222,0.0,0.0
2020-03-14,9,0,79,70,0.11392405063291139,0.0,0.0
2020-03-15,11,0,95,84,0.11578947368421053,0.0,0.0
2020-03-16,12,0,97,85,0.12371134020618557,0.0,0.0
2020-03-17,12,0,122,110,0.09836065573770492,0.0,0.0
2020-03-18,15,12,160,133,0.09375,0.075,0.8
2020-03-19,19,13,210,178,0.09047619047619047,0.06190476190476191,0.6842105263157895
2020-03-20,20,13,224,191,0.08928571428571429,0.05803571428571429,0.65
2020-03-21,23,17,268,228,0.08582089552238806,0.06343283582089553,0.7391304347826086
2020-03-22,29,21,304,254,0.09539473684210527,0.06907894736842106,0.7241379310344828
2020-03-23,29,22,355,304,0.08169014084507042,0.061971830985915494,0.7586206896551724
2020-03-24,34,23,426,369,0.07981220657276995,0.0539906103286385,0.6764705882352942
2020-03-25,43,27,472,402,0.09110169491525423,0.057203389830508475,0.627906976744186
2020-03-26,49,29,515,437,0.09514563106796116,0.05631067961165048,0.5918367346938775
2020-03-27,57,31,566,478,0.10070671378091872,0.054770318021201414,0.543859649122807
2020-03-28,62,43,603,498,0.10281923714759536,0.07131011608623548,0.6935483870967742
2020-03-29,67,48,701,586,0.09557774607703282,0.06847360912981455,0.7164179104477612
