tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-01-29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-03,1,0,3,2,1,0,0,2,3,2,0.3333333333333333,0.0,0.0
2020-03-04,1,0,3,2,0,0,0,0,0,0,0.3333333333333333,0.0,0.0
2020-03-05,3,0,7,4,2,0,0,2,4,2,0.42857142857142855,0.0,0.0
2020-03-06,3,0,7,4,0,0,0,0,0,0,0.42857142857142855,0.0,0.0
2020-03-07,3,0,7,4,0,0,0,0,0,0,0.42857142857142855,0.0,0.0
2020-03-08,3,0,7,4,0,0,0,0,0,0,0.42857142857142855,0.0,0.0
2020-03-09,3,0,34,31,0,0,0,27,27,27,0.08823529411764706,0.0,0.0
2020-03-11,3,0,36,33,0,0,0,2,2,2,0.08333333333333333,0.0,0.0
2020-03-12,5,0,62,57,2,0,0,24,26,24,0.08064516129032258,0.0,0.0
2020-03-13,7,0,72,65,2,0,0,8,10,8,0.09722222222222222,0.0,0.0
2020-03-14,9,0,79,70,2,0,0,5,7,5,0.11392405063291139,0.0,0.0
2020-03-15,11,0,95,84,2,0,0,14,16,14,0.11578947368421053,0.0,0.0
2020-03-16,12,0,97,85,1,0,7,-6,2,1,0.12371134020618557,0.0,0.0
2020-03-17,12,0,122,110,0,0,20,5,25,25,0.09836065573770492,0.0,0.0
2020-03-18,15,12,160,133,3,12,15,8,38,23,0.09375,0.075,0.8
2020-03-19,19,13,210,178,4,1,15,30,50,45,0.09047619047619047,0.06190476190476191,0.6842105263157895
2020-03-20,20,13,224,191,1,0,9,4,14,13,0.08928571428571429,0.05803571428571429,0.65
2020-03-21,23,17,268,228,3,4,5,32,44,37,0.08582089552238806,0.06343283582089553,0.7391304347826086
2020-03-22,29,21,304,254,6,4,6,20,36,26,0.09539473684210527,0.06907894736842106,0.7241379310344828
2020-03-23,29,22,355,304,0,1,2,48,51,50,0.08169014084507042,0.061971830985915494,0.7586206896551724
2020-03-24,34,23,426,369,5,1,30,35,71,65,0.07981220657276995,0.0539906103286385,0.6764705882352942
2020-03-25,43,27,472,402,9,4,3,30,46,33,0.09110169491525423,0.057203389830508475,0.627906976744186
2020-03-26,49,29,515,437,6,2,1,34,43,35,0.09514563106796116,0.05631067961165048,0.5918367346938775
2020-03-27,57,31,566,478,8,2,19,22,51,41,0.10070671378091872,0.054770318021201414,0.543859649122807
2020-03-28,62,43,603,498,5,12,2,18,37,20,0.10281923714759536,0.07131011608623548,0.6935483870967742
2020-03-29,67,48,701,586,5,5,17,71,98,88,0.09557774607703282,0.06847360912981455,0.7164179104477612
2020-03-30,78,49,727,600,11,1,0,14,26,14,0.10729023383768914,0.06740027510316368,0.6282051282051282
2020-03-31,84,49,741,608,6,0,6,2,14,8,0.11336032388663968,0.06612685560053981,0.5833333333333334
2020-04-01,90,51,816,675,6,2,19,48,75,67,0.11029411764705882,0.0625,0.5666666666666667
2020-04-02,95,54,909,760,5,3,19,66,93,85,0.10451045104510451,0.0594059405940594,0.5684210526315789
2020-04-03,98,56,990,836,3,2,14,62,81,76,0.09898989898989899,0.05656565656565657,0.5714285714285714
2020-04-04,99,58,1071,914,1,2,14,64,81,78,0.09243697478991597,0.05415499533146592,0.5858585858585859
2020-04-05,123,64,1151,964,24,6,56,-6,80,50,0.10686359687228497,0.05560382276281494,0.5203252032520326
2020-04-06,131,68,1299,1100,8,4,38,98,148,136,0.100846805234796,0.05234795996920708,0.5190839694656488
2020-04-07,141,69,1443,1233,10,1,21,112,144,133,0.09771309771309772,0.04781704781704782,0.48936170212765956
2020-04-08,144,75,1552,1333,3,6,19,81,109,100,0.09278350515463918,0.04832474226804124,0.5208333333333334
2020-04-09,155,82,1719,1482,11,7,48,101,167,149,0.09016870273414776,0.0477021524141943,0.5290322580645161
